id,title,abstract
1,Decentralized Voting system using Blockchain,"Electronic voting or e-voting has been used in varying forms since 1970s with fundamental benefits over paper based systems such as increased efficiency and reduced errors. However, there remain challenges to achieve wide spread adoption of such systems especially with respect to improving their resilience against potential faults. Blockchain is a disruptive technology of current era and promises to improve the overall resilience of e-voting systems. This paper presents an effort to leverage benefits of blockchain such as cryptographic foundations and transparency to achieve an effective scheme for evoting. The proposed scheme conforms to the fundamental requirements for e-voting schemes and achieves end-to-end verifiability. The paper presents details of the proposed e-voting scheme along with its implementation using Multichain platform. The paper presents in-depth evaluation of the scheme which successfully demonstrates its effectiveness to achieve an end-to-end verifiable e-voting scheme."
2,UPI Fraud Detection Using Machine Learning,"Increase in UPI usage for online payments cases of fraud associated with it are also rising. Few steps involving UPI transaction process using a Hidden Markov Model (HMM) how it can be used for the detection of frauds. An HMM is initially trained for a cardholder. If a UPI transaction is not accepted by the trained HMM. It is considered to be fraudulent. People can use UPIs for online transactions as it provides an efficient and easy-to-use facility. With the increase in usage of UPIs, the capacity of UPI misuse has also enhanced. UPI frauds cause significant financial losses for both UPI holders and financial companies. In this Project, the main aim is to detect such frauds, including the accessibility of public data, high-class imbalance data, the changes in fraud nature, and high rates of false alarm. The main focus has been to apply the recent development of Machine Learning algorithms for this purpose. We have created 5 Algorithms to detection the UPI Fraud and evaluated results Based on that."
3,AI based Learning Assistant Using Machine Learning,"An AI-based Question Answer Generation and Evaluation System employs state-of-the-art natural language processing and machine learning techniques to automate the creation and assessment of questions and answers. This system is capable of generating diverse, contextually relevant questions from a wide range of textual content, facilitating comprehensive testing and personalized learning experiences. The evaluation component uses sophisticated algorithms to accurately assess the correctness and quality of answers, providing detailed feedback and scoring. This technology enhances educational and training environments by ensuring consistent, efficient, and scalable assessment methods, ultimately improving the overall learning experience and outcomes."
4,Disaster Management with Sentiment and Earthquake/Tsunami Prediction System,"Natural disasters such as earthquakes, floods, and tsunamis pose significant threats to human life and infrastructure. Accurate and timely disaster prediction and response are critical in mitigating the damage caused by these events. This project presents a comprehensive disaster management system that leverages sentiment analysis of social media platforms and predictive modeling to improve disaster response. By analyzing public sentiment during disasters through Twitter data, the system can identify key information in real-time, providing valuable insights into disaster severity and public awareness. The system integrates machine learning models, including Long Short-Term Memory (LSTM) networks and Random Forest algorithms, to predict the occurrence of earthquakes, floods, and tsunamis. These models are trained on historical disaster data to forecast potential events, enabling preemptive actions and improving preparedness. The combination of sentiment analysis and predictive algorithms ensures a robust disaster management system capable of aiding decision-makers, reducing response time, and enhancing overall disaster resilience."
5,Prediction the Electronic Gadget Addiction of Students using Machine Learning,"The rapid proliferation of electronic gadgets has raised concerns about addiction among students, impacting their academic performance and overall well-being. This project focuses on predicting electronic gadget addiction in students using a machine learning approach, specifically employing Random Forest (RF) algorithms. By analyzing a variety of factors, including usage patterns, academic performance, social interactions, and psychological profiles, the model aims to identify students at risk of addiction. The dataset comprises responses from surveys and behavioral assessments, enabling the RF algorithm to capture complex interactions between variables and provide accurate predictions. This predictive model not only aids in early identification of addiction but also informs educational institutions and parents about the necessity of implementing effective interventions. The system is designed to be user-friendly, offering insights and recommendations based on the predictive analysis, ultimately promoting healthier gadget usage habits among students. Through this project, we aim to contribute to the understanding of electronic gadget addiction and its implications, fostering a balanced approach to technology in education."
6,FutureCrop: AI-Powered Price Prediction for Agri and Vegetable Markets,"Agricultural commodity price prediction is crucial for supporting farmers, traders, and policymakers in making informed decisions. This project aims to develop a machine learning model to predict the prices of key agricultural commodities such as pulses, vegetables, and cereals. Agricultural commodity price prediction is essential for enabling farmers, traders, and policymakers to make informed decisions and optimize resource allocation. This project focuses on developing a machine learning model using Convolutional Neural Networks (CNN) to predict the prices of key agricultural commodities, including pulses, vegetables, and cereals. CNNs, typically used for image processing, are applied here to capture intricate patterns and temporal dependencies in the data. By leveraging historical price data, weather conditions, and market trends, the CNN model effectively identifies complex relationships and provides accurate price forecasts. Comparative analysis with traditional regression methods demonstrates the superior performance of the CNN model in handling large, multidimensional datasets. The system is designed to be user-friendly, offering stakeholders real-time access to price predictions and valuable insights into market dynamics. This innovative approach not only helps stabilize agricultural markets but also empowers farmers to make better economic decisions, ultimately reducing financial uncertainty and promoting sustainable agricultural practices."
7,Smart Career Advisor: A Machine Learning based Recommendation System,"The increasing complexity of career planning demands intelligent systems to help individuals find optimal career paths based on their skills, interests, and market trends. This project introduces ""Smart Career Advisor,"" a machine learning-based recommendation system that employs Convolutional Neural Networks (CNNs) and Random Forest (RF) algorithms to offer personalized career guidance. The system analyzes a variety of inputs, including academic performance, personal interests, and professional skills, to generate tailored career suggestions. CNNs are utilized to process and classify textual data such as resumes and academic transcripts, extracting valuable features that highlight an individual’s strengths and preferences. These features are then combined with job market trends and industry requirements using the RF algorithm to provide robust, data-driven career recommendations. The hybrid architecture of CNN and RF ensures high predictive accuracy and adaptability across diverse career paths. Designed for students and professionals, the Smart Career Advisor aims to bridge the gap between personal potential and career opportunities. With a user-friendly interface and real-time feedback, the system offers an innovative approach to career planning, enabling users to make informed decisions and confidently navigate their career trajectories."
8,Flood and Landslide Prediction using Machine Learning,"Natural disasters such as landslides and food shortages pose significant challenges, particularly in regions with complex topography and vulnerable populations. This study presents a machine learning-based approach to predict landslides and food insecurity in susceptible areas. By integrating various datasets, including historical weather patterns, soil composition, land use, topographical data, and socio-economic indicators, the model aims to provide early warnings and actionable insights. The landslide prediction model employs techniques such as Convolutional Neural Networks to analyze the likelihood of landslide occurrences, while the food prediction model leverages time-series analysis and regression techniques to forecast food production and potential shortages. The models are validated using real-world data from high-risk regions, and the results demonstrate a significant improvement in prediction accuracy compared to traditional methods. This approach has the potential to assist policymakers and disaster management agencies in proactive planning, thereby reducing the impact of these events on affected communities. Floods and landslides are significant natural disasters that cause extensive damage to infrastructure, the environment, and human life, particularly in regions prone to heavy rainfall. Accurate and timely prediction of these events is crucial for mitigating their impact. This study explores a hybrid approach that leverages Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs) for flood and landslide prediction. The CNN is utilized to extract spatial features from geospatial data, such as satellite images and elevation maps, which are critical for understanding the physical terrain and potential risk areas. The RNN, p networks, is employed to analyze temporal patterns in time-series data, including rainfall, soil moisture, and river water levels. By combining spatial and temporal features, the proposed model aims to enhance prediction accuracy compared to traditional methods. The model is trained and validated using historical data from flood- and landslide-prone regions in India, with a focus on improving early warning systems. Preliminary results demonstrate the effectiveness of this hybrid approach, showing promise for real-world application in disaster management and risk mitigation."
9,Blood Group Detection using Image Processing and Fingerprint,"Blood group detection is a crucial aspect of medical diagnostics, ensuring compatibility in transfusions, organ transplants, and prenatal care. Traditional methods of blood group determination involve serological techniques, which, while accurate, require invasive procedures and laboratory infrastructure. This paper explores an innovative approach to blood group detection through fingerprint image processing. Leveraging the unique ridge patterns and minutiae points in fingerprints, this non-invasive method aims to provide a rapid, reliable, and accessible means of determining blood groups. Our proposed system employs advanced image processing algorithms and machine learning techniques to analyze fingerprint images, correlating specific patterns with blood group phenotypes. The integration of this method into portable and cost-effective devices can revolutionize point-of-care diagnostics, particularly in resource-limited settings. Preliminary results demonstrate promising accuracy levels, highlighting the potential for further development and implementation in clinical practice. This research opens new avenues in biometric applications and contributes significantly to enhancing healthcare delivery through innovative technological solutions. In recent years, blood group detection has become vital in various medical and forensic applications. Traditional blood typing methods are often time-consuming and require skilled personnel, limiting their accessibility and efficiency. This study explores an innovative approach utilizing fingerprint image processing andConvolutional Neural Networks(CNNs) for accurate and rapid blood group detection. The proposed method leverages the unique ridge patterns in fingerprints, which have been found to correlate with specific blood group types. By employing a CNN architecture, the system is trained on a substantial dataset of fingerprint images labeled with corresponding blood groups. The model demonstrates high accuracy in identifying blood groups, showcasing the potential of CNNs in biometrics-based blood typing. This approach promises a non-invasive, quick, and reliable alternative to conventional blood group detection methods, enhancing the efficacy of medical diagnostics and transfusion services. The results indicate a significant step forward in integrating biometric data with medical diagnostics, paving the way for further advancements in the field. The existing systems for blood group detection primarily rely on serological methods, which involve the agglutination reaction between antigens and antibodies. These traditional methods, although accurate, are labor-intensive, time-consuming, and require skilled personnel and laboratory infrastructure. The process typically involves collecting a blood sample, mixing it with specific antibodies, and observing the agglutination reaction to determine the blood group. This conventional approach is not only invasive but also impractical in situations requiring rapid and on-site blood group determination, such as emergencies and remote locations."
10,Student Engagement Prediction using Image Processing,"In the realm of educational technology, predicting and enhancing student engagement is crucial for optimizing learning outcomes. This study introduces a novel approach to student engagement prediction by leveraging facial expression analysis through Recurrent Neural Networks (RNNs). The proposed model aims to decipher the intricate relationship between students’ facial expressions and their level of engagement during classroom activities. The research employs a dataset consisting of facial expression sequences captured in real-time classroom settings. Facial landmarks and expressions are extracted using computer vision techniques, and these features are then fed into an RNN architecture to capture temporal dependencies and patterns in students’ reactions. The RNN model is designed to learn the dynamic nature of facial expressions over time, enabling it to recognize subtle changes indicative of variations in engagement levels. To train and evaluate the model, ground truth labels for student engagement are collected through manual annotations and observational methods. The performance of the proposed model is compared against traditional engagement assessment methods, demonstrating its efficacy in providing accurate and timely predictions. The findings of this research hold potential for practical applications in educational settings. Educators and administrators can utilize the developed model to gain insights into students’ engagement levels, allowing for timely interventions and personalized instructional strategies. Additionally, the study contributes to the growing field of affective computing in education, opening avenues for further research in understanding and enhancing the student learning experience."
